step,beta,energy,rho,event
235,5.89383,4.82048e+09,3.18439e+12,fracture_detected
236,5.91887,4.82048e+09,5.36958e+12,step
236,5.91887,4.82048e+09,5.36958e+12,fracture_detected
237,5.94391,4.82048e+09,5.86653e+12,step
237,5.94391,4.82048e+09,5.86653e+12,fracture_detected
238,5.96895,4.82048e+09,6.43881e+12,step
238,5.96895,4.82048e+09,6.43881e+12,fracture_detected
239,5.99398,4.82048e+09,9.78706e+11,step
239,5.99398,4.82048e+09,9.78706e+11,fracture_detected
240,6.01902,4.82048e+09,1.25475e+13,step
240,6.01902,4.82048e+09,1.25475e+13,fracture_detected
241,6.04406,4.82048e+09,8.18144e+12,step
241,6.04406,4.82048e+09,8.18144e+12,fracture_detected
242,6.0691,4.82048e+09,1.018e+13,step
242,6.0691,4.82048e+09,1.018e+13,fracture_detected
243,6.09414,4.82048e+09,4.42733e+12,step
243,6.09414,4.82048e+09,4.42733e+12,fracture_detected
244,6.11917,4.82048e+09,1.41302e+13,step
244,6.11917,4.82048e+09,1.41302e+13,fracture_detected
245,6.14421,4.82048e+09,2.60833e+12,step
245,6.14421,4.82048e+09,2.60833e+12,fracture_detected
246,6.16925,4.82048e+09,3.96464e+12,step
246,6.16925,4.82048e+09,3.96464e+12,fracture_detected
247,6.19429,4.82048e+09,2.4394e+13,step
247,6.19429,4.82048e+09,2.4394e+13,fracture_detected
248,6.21932,4.82048e+09,2.34444e+13,step
248,6.21932,4.82048e+09,2.34444e+13,fracture_detected
249,6.24436,4.82048e+09,2.58193e+12,step
249,6.24436,4.82048e+09,2.58193e+12,fracture_detected
250,6.2694,4.82048e+09,5.91966e+12,step
250,6.2694,4.82048e+09,5.91966e+12,fracture_detected
