step,beta,energy,rho,type
283,0.663226,222,4005.73,fracture_detected
284,0.665217,222,4597.98,step
284,0.665217,222,4597.98,fracture_detected
285,0.667207,222,6433.57,step
285,0.667207,222,6433.57,fracture_detected
286,0.669197,222,426.777,step
286,0.669197,222,426.777,fracture_detected
287,0.671187,222,918.504,step
287,0.671187,222,918.504,fracture_detected
288,0.673177,222,1599.59,step
288,0.673177,222,1599.59,fracture_detected
289,0.675168,222,2865.48,step
289,0.675168,222,2865.48,fracture_detected
290,0.677158,222,4693.02,step
290,0.677158,222,4693.02,fracture_detected
291,0.679148,222,3348.03,step
291,0.679148,222,3348.03,fracture_detected
292,0.681138,222,4518.91,step
292,0.681138,222,4518.91,fracture_detected
293,0.683128,222,2495.89,step
293,0.683128,222,2495.89,fracture_detected
294,0.685119,222,1824.46,step
294,0.685119,222,1824.46,fracture_detected
295,0.687109,222,1615.95,step
295,0.687109,222,1615.95,fracture_detected
296,0.689099,222,4680.37,step
296,0.689099,222,4680.37,fracture_detected
297,0.691089,222,2364.34,step
297,0.691089,222,2364.34,fracture_detected
298,0.693079,222,2496.97,step
298,0.693079,222,2496.97,fracture_detected
299,0.69507,222,2679.26,step
299,0.69507,222,2679.26,fracture_detected
300,0.69706,222,2545.59,step
300,0.69706,222,2545.59,fracture_detected
301,0.69905,222,437.408,step
301,0.69905,222,437.408,fracture_detected
302,0.70104,222,5882.37,step
302,0.70104,222,5882.37,fracture_detected
303,0.70303,222,10687.1,step
303,0.70303,222,10687.1,fracture_detected
304,0.705021,222,5188.76,step
304,0.705021,222,5188.76,fracture_detected
305,0.707011,222,2024.88,step
305,0.707011,222,2024.88,fracture_detected
306,0.709001,222,7586.38,step
306,0.709001,222,7586.38,fracture_detected
307,0.710991,222,9488.89,step
307,0.710991,222,9488.89,fracture_detected
308,0.712981,222,2071.34,step
308,0.712981,222,2071.34,fracture_detected
309,0.714971,222,4077.09,step
309,0.714971,222,4077.09,fracture_detected
310,0.716962,222,1330.51,step
310,0.716962,222,1330.51,fracture_detected
311,0.718952,222,278.768,step
311,0.718952,222,278.768,fracture_detected
312,0.720942,222,473.532,step
312,0.720942,222,473.532,fracture_detected
313,0.722932,222,6555.91,step
313,0.722932,222,6555.91,fracture_detected
314,0.724922,222,11521.6,step
314,0.724922,222,11521.6,fracture_detected
315,0.726913,222,3323.05,step
315,0.726913,222,3323.05,fracture_detected
316,0.728903,222,7712.62,step
316,0.728903,222,7712.62,fracture_detected
